asin,text,title,Verified,location_and_date,stars
B0CRDCXRK2,"The seller's Asus G16 arrived impeccably and he sent it in less than a day, definitely 100% recommended",excelent laptop,True,"Reviewed in the United States on July 9, 2024",5.0 out of 5 stars
B0CRDCXRK2,"I've been using this Laptop for about a year now, only real negative i have to say about it is there's occasions where the  'Armoury Crate' app( which is the application that controls your fans speeds and RGB lighting) crashes causing the whole laptop to hard crash. It's only happened about six times in total; Bios Updates has made this less common but i think i should mention it regardless. This is the best ""gaming"" laptop on the market for the price. If you want something ""better"" you'll have to cough up a pretty penny going into enthusiast territory; for marginal upgrades with diminishing returns.  I've looked around quiet a bit for other computers in this price range, so far this is the best one I've found. If you can get it on sale it's a steal.TL:DR: has some quirks that you need to be mindful about1. It does happen but it's rare, it will hard crashed caused by it's Fan and RGB software. updates made it stable but still worth noting.2. If you open it to upgrade the space or ram, you need to reconnect it to the outlet again to power back on. (so no you didn't break it.)3. You can turn off the RGB completely as well as mute the Custom start up sound in Armoury Crate.",Best PC at this price point without Diminishing returns.,True,"Reviewed in the United States on July 9, 2024",5.0 out of 5 stars
B0CRDCXRK2,"Una de las mejores computadoras que he utilizado de las mas rápidas y mas eficientes en su uso, no me arrepiento ni un poco por la compra más bien agradezco haberla encontrado",La mejor PC Gamer,True,"Reviewed in the United States on July 9, 2024",5.0 out of 5 stars
B0CRDCXRK2,"More than satisfied with the quality with the price. I sometimes run two games at once without any problems other than maybe noise. Designed very light, clean, and slim; keyboard strokes feel nice as well. The only uncomfortable part is that the USB ports are only on the right side.Disclaimer: Warranty extension from ASUS (90 days) may be received for feedback.",Great gaming laptop,True,"Reviewed in the United States on July 9, 2024",5.0 out of 5 stars
B0CRDCXRK2,"First of all, this thing has great specs for the price.  Unfortunately, it's not for me.  I wanted to like it but all the lights are a bit too obnoxious for my liking.  I'm sure they can be turned off but there was no flash card in the box that told me how.  It's probably a simple combo keypress.  Anyway, I set up Windows and rebooted after the first round of Windows' updates.  It booted into the bios on the section for flashing the bios.  Weird.  I didn't interrupt the boot process.  It did have a message to plug in the laptop even though it was 95% charged.  I exited the bios and powered off/on.  Same thing.  I decided to plug it in and powered off/on again and let it along.  After 10 or so minutes, I see what you see in the video.  Seemed like it wanted my attention so I press a key and there's Windows.  Ok, that looks good.  But why is it flashing like that?  Windows had been updated and loaded.  There was nothing that told me I needed to do anything.  So I let it be and after a minute or so, it went back to the flashy process in the video.  I pressed a key and logged into Windows and everything was fine after that.  I'm not sure why this thing had to flash like that just to tell me Windows was ready to log in to.Aside from that, it seems like a great machine.  It's built like a tank without being too heavy.  Screen is pretty.  The few games I tried (American Truck Simulator, Euro Truck Simulator, Mars 2030) played beautifully.Anyway, maybe that's a silly reason to give it 3 stars.  The laptop itself probably deserves 4/5 stars but I had a 3 star experience.",The flashy lights are annoying,True,"Reviewed in the United States on July 9, 2024",3.0 out of 5 stars
B0CRDCXRK2,"Muy buena portátil, para jugar es excelente, la pantalla tiene unos buenos colores, iluminación decente y una tasa de refresco alta, el sonido está bien, a volúmenes alto se distorsiona mucho pero tiene un nivel de volumen alto por lo tanto no necesitas llegar al máximos, el touchpad tiene un tamaño grande y una sensación agradable, la construcción del portátil también está muy con una tapa de metal y el cuerpo de un plástico duro, es pesada la portátil pero es que es de potencia, lo que no me gusta es el teclado, tiene una buena distancia de recorrido pero la sensación de los botones se siente barato, además el grabado de las letras es feo y al encender el computador obligatoriamente el RGB no se puede descativar (de momento no encuentro alguna opción que me permita desactivarlo). Aunque la portátil sea para juegos tiene un diseño que puede llegar a ser sobrio para entornos profesionales",Casi la Perfección,True,"Reviewed in the United States on July 9, 2024",4.0 out of 5 stars
B0CRDCXRK2,I know that y pay a cheaper uded version but still i payed 1070 DLL and the fact that the audio doesn't work perfectly its crazy.,The audio 💀💀💀💀💀,True,"Reviewed in the United States on July 9, 2024",4.0 out of 5 stars
B0CRDCXRK2,Me gusta mucho los colores de laptop y su portabilidad de no ser tan pesada.,Bonita y portatil.,True,"Reviewed in the United States on July 9, 2024",5.0 out of 5 stars
B0CRDCXRK2,"Before we turned on the laptop to test it we upgraded it with the 64 Gb of ram that we needed for 3D scanning. Turned on the laptop and nothing, so we plugged it in thinking the battery might be low which is normally not the case as they have atleast 30% or so from the factory.No go, Went through all the trouble shooting steps from Asus still no go. Black screen but when plugged in the keyboard lit up and fans all worked. I thought maybe the laptop is working and the screen ain't. I plugged in an HDMI cable to my monitor and no go, But the MOMENT! I unplugged the HDMI it started working. I switched ram, same issue, same trick worked. Have no issues until you try to switch the ram, But if your getting a black screen while plugged in try to plug it to your TV or monitor and then unplug the HDMI. Weird I know, but it worked great. And so far we have had no issues from the laptop.We recieved it a day late, But other then that Id highly recommend it as a laptop and hope if you have this issue you find this review and it worked.",Had issues but resolved them. Good value for the money.,True,"Reviewed in the United States on July 9, 2024",4.0 out of 5 stars
B0CRDCXRK2,This computer is great but even as I just try to type this it freezes.  Everything else is pretty good for the price.  The freezing is livable but annoying.  Not sure how to get support aside from shinanaghins with customer support online.,Great computer but mine freezes often,True,"Reviewed in the United States on July 9, 2024",3.0 out of 5 stars
B0CRDCXRK2,I had expected that this Asus ROG strix G16 will be faster than my Hp probook 6360b but it is not. The only difference is it has a better gpu which allows extending display.I liked the rgb keyboard and on trim which I had wished its on the rear of the laptop and not the front.Its display blinks on power plug in or plug out.,NOT AS FAST AS EXPECTED,True,"Reviewed in the United States on March 2, 2024",4.0 out of 5 stars
B0CRDCXRK2,"(Before I start, if you’re a PC noob like me and didn’t really know anything starting out, laptops must be plugged in while playing to maximize performance. It will also die very, very quickly if gaming on battery power)This laptop was my introduction into PC gaming, and it performed above my expectations. I always assumed gaming laptops couldn’t ever be as good as desktop PC’s, and boy was I wrong. This thing runs all of my games on Ultra with at least 65 FPS while plugged in (usually higher). I’ve played many small indie games on it, along with AAA titles like RDR2, Starfield, The Witcher 3, and more. Every game ran great. Starfield was the toughest one but it still did good (full ultra with frame boost running at 65 fps in the big cities). This laptop is easily worth it if you plan on playing lots of games but don’t have room for a desktop PC like me.",Great Laptop,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,"Three months in using, Right off the bat I personally Got this on black Friday on a massive discount but even without that this laptop really gives you your bang for the buck, it came without even a minor scratch given this was imported from my country in South Asia(good shipping experience)  everything so far has just worked except for minor rare crashes here and there while booting games(might be my external hard disk to blame) Runs well, haven't benchmarked it or anything but can assure anyone that if not defective this beast will run anything you throw at it with conveniently playable frames, does weigh quite a lot though( I know duh!) so keep that in my mind, screenns great, rgb has a lot of customization options, the battery is fine for a gaming laptop, really tactile keyboards, material used feels really premium, performance really takes the crown but just know that on extreme setting both on the game and on the armory(native performance control center) things tend to Get real loud real fast, so that is what I have to say about this, am really satisfied with my product and hope you will too( If you decide to buy it), have a nice day and peace be with you.",Worth every dime!,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,Loving the laptop so far but the battery life is not as good as I thought it would be.,Almost perfect except..,True,"Reviewed in the United States on March 2, 2024",4.0 out of 5 stars
B0CRDCXRK2,excelente producto,excelente producto,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,"The only ""could be better"" thing is that all the USBs type A ports are on the right side, which means that if you have a wired usb-a mouse, it can become somewhat of a bother, specially for small tables. That and the optimus. When it switches the display input from the integrated graphics to the 4060 it causes a couple of seconds of screen freeze.Besides that, is PERFECT. Battery life lasted long enough to see one complete season of 12 25min episodes. Screen looks amazing. Gaming performance of course is amazing too, with stable FPS at more than 100fps in many games. Keyboard feels good too. Speakers could be better but lets be honest, this is a gaming laptop, not a macbook. Overall happy with this product. Maybe not as cost/effective as the Lenovo LOQ but still a solid product from ASUS.",Amazing product with almost no flaws,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,"I'll start from the end - it's an excellent laptop.I will not write the advantages or disadvantages, instead I will write why it is a balanced and suitable for gaming on a sane budget.It has an RTX 4060 GPU with 8GB of RAM. On the one hand, it is excellent for gaming on 1080p, on the other hand, it also allows you to play in high resolutions using DLSS 3 / 3.5.More expensive laptops with RTX 4070 will indeed provide higher performance, but the card also comes with 8GB of RAM, which means that at higher resolutions it will probably cause a bottleneck.Cheaper laptops with RTX 4050 are not worth the price since the card is both weaker and has only 6GB of RAM - can bottleneck some modern games even on 1080p.The rest of the hardware - the CPU delivers great performance, the RAM is not soldered and therefore can be upgraded if needed and there is an additional slot for an another SSD.I bought it on sale ($1100 before tax and shipping) and am very satisfied, definitely recommend.",Great laptop for the price,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,"Ya hace 1 mes que la tengo y no tengo ningún problema, Asus se lucio con esta laptop",Recomendado,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,"Vengo de una Gigabyte G5 ke, la cual es más austera, inicié con esa en el mundo del laptop gaming a pesar de que podría haberme comprado una mejor y no volveré a comprar laptops de entrada. Hay mucha diferencia en calidad de construcción, pantalla, el software de la marca, la duración de la batería, todo mejor. Para mis estándares la calidad de la pantalla es muy buena, la duración de la batería es decente (buena para ser gaming) y lo que más me gustó es lo silenciosa que es (tal vez comparándola que mi anterior laptop). La conseguí en descuento por 1100, por lo qu estoy muy satisfecho.",CALIDAD PRECIO EXCELENTE,True,"Reviewed in the United States on March 2, 2024",4.0 out of 5 stars
B0CRDCXRK2,"I've had it for a bit over a month now and  it is running like a champ! I ended up upgrading the ram from the installed 16gb to 64GB and it works just fine (thought their website only says it supports 32gb). It also has two m.2 SSD slots so I added a 2TB and it is a beast! I run Cyberpunk 2077 at 1080p Ultra with ray tracing on. I also run Baldur's Gate 3 totally maxed out. Keep in mind that this is more of a desktop replacement at this size and having a GeForce RTX 4060 in it. It should be used on a flat surface for proper cooling and it chews through the battery like it's nothing which is to be expect, but plugged in, it's great.  The exhaust is hot, which I did expect.  The fan is very quite, which I did not expect. The looks are pretty cool too, not too ridiculous as gaming devices tend to be. I am a very satisfied customer.",Great laptop for a decent price!,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,"The pc came in good conditions, fast shipping with DHL to Morocco, had some minor problems with like it freezes sometimes for 1 sec when I open the wifi section from taskbar, and some minor backlight bleeding that I think its going away now, coil whine started when I first played a game, but its not hearable so that's good. overall its a good PC Value for Money, got it at 1099 usd during the Black Friday sales!Last thing, the fans are so noisy when gaming but they keep the pc cool.",Minor problems but it's all good,True,"Reviewed in the United States on December 9, 2023",4.0 out of 5 stars
B0CRDCXRK2,"Me encantó, laptop perfecta para jugar",Me encantó,True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
B0CRDCXRK2,Works great,We liked it,True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
B0CRDCXRK2,"I needed a laptop for college because the one I had, which was a Mac, was damaged. So I was looking for one that had the requirements that I need for my career which is architecture.After months of researching and looking for recommendations and even asking teachers, I found several options, this being my option since it meets the requirements I need and at a good price.I use several programs such as AutoCAD, Revit, Photoshop, Luminon among others, I have had no problem using any of them, they run very well, very sharp colors, the material of the laptop is also of very good quality only that as it is matte and gray the fingerprints are marked, I recommend using the laptop connected with the charger so that they work in optimal conditions.",Recommended for architecture students,True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
B0CRDCXRK2,"Gaming: Absolutely fantastic, performance was wonderful, although the fans were quite loud during gameplay (especially while playing Cyberpunk 2077)Display: pretty good display, can't say anything bad about it, I'm not some person who needs the screen hz to be super high... Especially on a small screen.Sound Quality: It's okay for a gaming laptop, but definitely use headphones or connect it to a soundbar which I have.Heat: The 3 fans are doing a fantastic job cooling the laptop, it goes from 57-60°C on idle to around 77- 81 ° C during heavy gameplay. Fans get as loud as 46.5 dBA.Weight: hell of a lot lighter than my Dell G15 which weighs at around 5.8 lbs, while this one weighs in at around 5.5 lbs. Which I didn't expect.Ports : 2 USB Type A ports, 1 HDMI, 1 USB type C thunderbolt4 port, 1 USB Type C with Display port & PD charger support, 2.5G LAN RJ-45 Jack, and an Audio combo jack.What I'm most excited about is the Thunderbolt4 I can finally connect an EGPU to it.If you're looking at this, you're not gonna have a lot of regrets buying it.",Pretty darn good,True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
B0CRDCXRK2,So at first the screen would freeze and the system had some trouble starting up so i had to restart it a few times and update some drivers especially for the nvidia gpu but now for the most part the system is working fine.  The only thing that I have to complain about now is the right speaker will sometimes reduce it out put so most of the sound will come from the left side speaker and I am not sure how to fix that but gaming perfrormace has been great and the keyboard is very nice.  Overall a very good device.,"Good laptop, right side speaker is acting odd.",True,"Reviewed in the United States on December 9, 2023",4.0 out of 5 stars
B0CRDCXRK2,"Overall, this laptop is great, and it's already been serving me well, there's just a few problems with it. I've seen this stated elsewhere in reviews and I too have to say that it has rare stuttering issues where a game or other program will freeze suddenly for about a second or two before resuming. It isn't major but it's still an annoyance, and I hope it gets fixed with a software update eventually.The larger problems, to me, are that the touchpad is absolutely massive, way bigger than my old laptop, and I have to keep it disabled constantly because it's way too easy to accidentally press when typing, and that the screw for the second M.2 SSD slot cannot be removed. I don't know who or what tightened that screw down but it's down so tightly that I cannot move it at all, no matter how much force I try to apply, to the point that I'm absolutely certain that the force required to remove it would be impossible without stripping the screw and also damaging internal parts around it.It's kind of mean to sell a laptop with a second M.2 slot that has a nonfunctional screw. I plugged in an SSD anyway and am just using the laptop case to hold it in place, which has a risk of it popping out, though said risk is lessened by me not taking my laptop with me outside anywhere so there's very little chance of it being jostled.",Great but has issues,True,"Reviewed in the United States on December 9, 2023",3.0 out of 5 stars
